Name,State,City,Zip,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Warren Wilson College,NC,SWANNANOA,28778,Yes,440,311,112,25,49,466,7,10000,3052,400,1100,65,75,11.4,20,9430,63
Wartburg College,IA,WAVERLY,50677,Yes,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
Washington and Lee University,VA,LEXINGTON,24450,Yes,3315,1096,425,68,93,1584,3,13750,4619,680,1115,81,96,9.6,45,15736,90
Washington College,MD,CHESTERTOWN,21620,Yes,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65
Washington State University,WA,PULLMAN,99164,No,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,10912,56
Webster University,MO,SAINT LOUIS,63119,Yes,665,462,226,17,44,1739,1550,9160,4340,500,500,68,68,20.6,14,6951,48
Wellesley College,MA,WELLESLEY,02481,Yes,2895,1249,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91
Wells College,NY,AURORA,13026,Yes,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,69
Wentworth Institute of Technology,MA,BOSTON,02115,Yes,1480,1257,452,6,25,2961,572,9850,6050,850,920,10,68,15.4,8,17858,64
Wesley College,DE,DOVER,19901,Yes,980,807,350,10,25,872,448,9890,4674,500,1350,52,57,14.4,15,6243,84
Wesleyan University,CT,MIDDLETOWN,06459,Yes,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92
West Virginia Wesleyan College,WV,BUCKHANNON,26201,Yes,1566,1400,483,28,55,1509,170,14200,3775,450,1100,58,81,16.4,42,8080,67
Western Carolina University,NC,CULLOWHEE,28723,No,3224,2519,1057,11,31,5000,706,6390,2380,110,1622,67,78,14.6,9,6554,55
Western Michigan University,MI,KALAMAZOO,49008,No,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55
Western Washington University,WA,BELLINGHAM,98225,No,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61
Westminster College,PA,NEW WILMINGTON,16172,Yes,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80
Whitman College,WA,WALLA WALLA,99362,Yes,1861,998,359,45,77,1220,46,16670,4900,750,800,80,83,10.5,51,13198,72
Widener University,PA,CHESTER,19013,Yes,2139,1492,502,24,64,2186,2171,12350,5370,500,1350,88,86,12.6,19,9603,63
Wilkes University,PA,WILKES-BARRE,18766,Yes,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,8543,67
William Jewell College,MO,LIBERTY,64068,Yes,663,547,315,32,67,1279,75,10060,2970,500,2600,74,80,11.2,19,7885,59
Williams College,MA,WILLIAMSTOWN,01267,Yes,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94,99,9,64,22014,99
Wilson College,PA,CHAMBERSBURG,17201,Yes,167,130,46,16,50,199,676,11428,5084,450,475,67,76,8.3,43,10291,67
Winona State University,MN,WINONA,55987,No,3325,2047,1301,20,45,5800,872,4200,2700,300,1200,53,60,20.2,18,5318,58
Winthrop University,SC,ROCK HILL,29733,No,2320,1805,769,24,61,3395,670,6400,3392,580,2150,71,80,12.8,26,6729,59
Wisconsin Lutheran College,WI,MILWAUKEE,53226,Yes,152,128,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50
Wittenberg University,OH,SPRINGFIELD,45504,Yes,1979,1739,575,42,68,1980,144,15948,4404,400,800,82,95,12.8,29,10414,78
Wofford College,SC,SPARTANBURG,29303,Yes,1501,935,273,51,83,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,75
Worcester Polytechnic Institute,MA,WORCESTER,01609,Yes,2768,2314,682,49,86,2802,86,15884,5370,530,730,92,94,15.2,34,10774,82
Xavier University,OH,CINCINNATI,45207,Yes,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83
Xavier University of Louisiana,LA,NEW ORLEANS,70125,Yes,2097,1915,695,34,61,2793,166,6900,4200,617,781,67,75,14.4,20,8323,49
Yale University,CT,NEW HAVEN,06520,Yes,10705,2453,1317,95,99,5217,83,19840,6510,630,2115,96,96,5.8,49,40386,99
York College of Pennsylvania,PA,YORK,17403,Yes,2989,1855,691,28,63,2988,1726,4990,3560,500,1250,75,75,18.1,28,4509,99
